t,a,o2,r,d,_
13,[-0.0294246   0.9036596   0.54230255  0.3060671   0.21352828  0.33460304],"[  1.24012034  -0.28156836  -0.02408654  -0.43755128  -0.2136323
  -0.03899425  -0.42915678   0.03091528  -0.83288411  -0.67438285
  -2.86634633  -3.39486383   1.65745505  -7.28690349   1.84792258
 -10.          10.        ]",-0.004878075695087588,False,"{'x_position': -0.09037626111478088, 'x_velocity': -1.0035152866602441}"
14,[-0.01204981  0.44212183  0.38368043  0.5734853   0.522214    0.300716  ],"[ 1.23456611 -0.29525157 -0.0445006  -0.42420668 -0.23155719 -0.01736231
 -0.50363393  0.17077714 -0.44255249 -0.71150672 -0.5587523  -1.75068706
  1.87086906  2.23424232  3.55779822 -8.41803617 10.        ]",0.361364371486574,False,"{'x_position': -0.09547706733810923, 'x_velocity': -0.6376007779160444}"
15,[ 0.10822643 -0.45861033 -0.4471814   0.31593788  0.45395106 -0.18167913],"[ 1.22919299 -0.29253793 -0.04385031 -0.42178448 -0.20194541  0.01700663
 -0.56307269  0.30913536 -0.44449777 -0.64007949  0.23915586  0.52372261
 -0.74222144  4.66854513  3.5025018  -5.74640913 10.        ]",0.5802354858879866,False,"{'x_position': -0.09882909622509134, 'x_velocity': -0.4190036108727632}"
16,[-0.36889276  0.73729575 -0.21639341  0.93420994  0.9606548   0.92851007],"[ 1.22470977 -0.28918061 -0.05059029 -0.40977681 -0.15805921  0.03456166
 -0.58457036  0.48589564  0.03597081 -0.47484723  0.75028138 -2.02300077
  3.7702016   6.02501838  1.14268707  0.42175107 10.        ]",0.789871923235393,False,"{'x_position': -0.10048304683980329, 'x_velocity': -0.20674382683899364}"
17,[-0.8044091  -0.9445252   0.5286143  -0.67633706 -0.9599067  -0.3026986 ],"[ 1.21873585 -0.31030275 -0.09298032 -0.39018406 -0.07344523  0.02004934
 -0.59315029  0.69717158 -0.76016432 -1.03084374 -6.01085155 -8.54049401
  1.1515144  10.         -4.74164452 -2.69874447 10.        ]",0.6324788100868185,False,"{'x_position': -0.10339690344902878, 'x_velocity': -0.364232076153187}"
18,[-0.06734951  0.85833067 -0.6410313   0.7480996  -0.56809783 -0.00211561],"[ 1.21107429e+00 -3.52189297e-01 -1.63018649e-01 -3.61303176e-01
  2.02143566e-02 -3.98191917e-03 -6.29863863e-01  8.64001982e-01
 -6.03567512e-01 -8.53909506e-01 -4.04319599e+00 -8.42182900e+00
  5.90363357e+00  8.79152565e+00 -5.91344753e-01 -7.14387816e+00
  1.00000000e+01]",0.3100619714013908,False,"{'x_position': -0.10890013102643521, 'x_velocity': -0.6879034471758034}"
19,[-0.11696203  0.6055543  -0.9297446  -0.22220266  0.3345468  -0.6920861 ],"[  1.20525184  -0.39847864  -0.26056161  -0.28400042   0.0393009
  -0.03443811  -0.67175892   0.93285928  -0.57636252  -0.6328798
  -7.50203652 -10.          10.          -4.02990683  -6.95433804
  -3.42517422   3.08616239]",0.40349762603732825,False,"{'x_position': -0.11365706937925109, 'x_velocity': -0.5946172941019845}"
20,[-0.01059039  0.55254644  0.89464307  0.75970864  0.5412539  -0.22308604],"[  1.19971741  -0.44199114  -0.37337258  -0.17039579   0.05285317
  -0.06931801  -0.70399235   0.94000811  -0.1472547   -0.7454915
  -3.35071058 -10.          10.           7.35627517  -1.72178703
  -4.61781376  -0.80562293]",0.6396187158054588,False,"{'x_position': -0.11652391416078776, 'x_velocity': -0.35835559769208447}"
21,[ 0.57864386  0.9048582  -0.92206454  0.9650958  -0.06439088  0.7185755 ],"[ 1.19530458 -0.43650257 -0.44063943 -0.03429337  0.04634293 -0.03948538
 -0.75559229  0.92778174  0.51456412 -0.37930027  4.71137674 -4.76722617
 10.         -9.18105247  9.14451261 -8.22380957 -2.04609725]",1.175299235588726,False,"{'x_position': -0.11509387462330696, 'x_velocity': 0.1787549421851005}"
22,[ 0.60837966  0.5877236   0.49952388  0.19258118  0.30054408 -0.19269861],"[ 1.19217827e+00 -3.89372344e-01 -4.51229894e-01  8.61198134e-02
  6.91184269e-03  4.40863268e-02 -8.17864856e-01  9.00899414e-01
  2.69365230e-01 -3.13011051e-01  4.68940708e+00  7.73869879e-02
  9.63404618e+00 -2.19014932e-01  8.09994540e+00 -5.43290540e+00
 -4.78367086e+00]",1.4876567583228009,False,"{'x_position': -0.11118358362854767, 'x_velocity': 0.4887863743449107}"
23,[-0.26212823  0.17690988  0.90860754  0.53237885 -0.23837066  0.77332777],"[ 1.19025025 -0.36838982 -0.45526413  0.13297221  0.06166156  0.08544358
 -0.85032985  0.86985276 -0.13098723 -0.17887003  0.92824141 -1.06422196
  2.81299812 10.          2.79696654 -3.03477883 -3.09621045]",1.0424233886973069,False,"{'x_position': -0.11082928564174144, 'x_velocity': 0.04428724835077967}"
24,[-0.86940676  0.31578505  0.23106572 -0.9352912  -0.93116724 -0.87672895],"[  1.18730252  -0.39574278  -0.494404     0.14124467   0.18932812
   0.07191033  -0.88504903   0.78410798  -1.11426173  -0.59543374
  -7.74589279  -8.89871336  -0.36291492  10.          -6.10729704
  -5.63464262 -10.        ]",0.3651032609742268,False,"{'x_position': -0.11588110375141161, 'x_velocity': -0.6314772637087719}"
25,[-0.8007236  -0.327951   -0.36918777  0.636922    0.7058255  -0.68972874],"[  1.18310723  -0.46087235  -0.56401893   0.13109484   0.31526904
   0.01862173  -0.92296355   0.59889631  -1.30174775  -0.46276859
  -8.56817472  -8.68779311  -1.94062782  10.          -7.21492251
  -3.78956399 -10.        ]",-0.21383639067394306,False,"{'x_position': -0.1255736781184566, 'x_velocity': -1.2115717958806234}"
26,[-0.20780908 -0.20548403 -0.42924783 -0.96550936 -0.3948409   0.5058355 ],"[  1.17753017  -0.55419455  -0.65922209   0.11317011   0.39918297
  -0.07288853  -0.9390599    0.40714488  -1.68684234  -0.97665732
 -10.         -10.          -2.42485943   7.64175498 -10.
  -0.29767581 -10.        ]",-0.511426352319963,False,"{'x_position': -0.137652179824086, 'x_velocity': -1.5098127132036758}"
27,[-0.92537314  0.3013405  -0.7182636   0.5510217  -0.20452963  0.60835433],"[  1.16788029  -0.67898739  -0.78956658   0.09447162   0.41698607
  -0.20623478  -0.93922826   0.28067435  -1.62475033  -1.45109154
 -10.         -10.          -2.22162981  -3.2954404  -10.
   0.17104437 -10.        ]",-0.6668920085056477,False,"{'x_position': -0.15096988728228317, 'x_velocity': -1.6647134322746449}"
28,[ 0.41843683 -0.8522672   0.48437876 -0.54493517 -0.55429184  0.8517627 ],"[  1.15438088  -0.80715156  -0.90664962   0.04042567   0.43303912
  -0.34213875  -0.94004101   0.23659373  -1.64676477  -1.92230329
 -10.         -10.         -10.           7.11308928 -10.
  -0.49037459   0.73642589]",-0.6369991322963989,False,"{'x_position': -0.16404615422065924, 'x_velocity': -1.6345333672970093}"
29,[-0.80420744  0.84056205  0.9268548   0.36755154  0.27258065  0.59279674],"[  1.13581749  -0.93756286  -1.02119644  -0.02095044   0.53279611
  -0.48202354  -0.94057854   0.28299073  -1.15383061  -2.70769792
 -10.         -10.          -3.82419766  10.         -10.
   0.43847338  10.        ]",-0.4121312191988546,False,"{'x_position': -0.17532101872301412, 'x_velocity': -1.4093580627943594}"
30,[-0.56229484 -0.80269593 -0.46232313  0.13884167 -0.09273607 -0.32922032],"[  1.11254333  -1.08038693  -1.15541499  -0.06789697   0.64709172
  -0.63541823  -0.93916708   0.34299607  -1.16611532  -3.11848564
 -10.         -10.          -8.05582326  10.         -10.
  -0.16259413   4.25482025]",-0.16733989350418493,True,"{'x_position': -0.1846492538555828, 'x_velocity': -1.166029391571087}"
31,[-0.12836857 -0.33971652  0.2984043   0.7761967  -0.6685142  -0.89619786],"[ 1.24699873e+00 -5.65422505e-03  1.57500381e-03 -5.47691966e-03
  1.27553003e-02  4.44396744e-03 -1.26352656e-02 -4.38335769e-02
 -3.21212664e-01  4.01976063e-02 -8.54626213e-01  1.74834854e-01
 -2.16796551e+00  4.35764427e+00  7.22806611e-01 -2.63617835e+00
 -1.00000000e+01]",0.844511978592196,False,"{'x_position': -0.004959219884238349, 'x_velocity': -0.15341452721186585}"
32,[-0.08611094 -0.2122094   0.71355593 -0.5344492   0.33207673 -0.35722458],"[ 1.24665675e+00 -2.88477023e-02 -1.45128355e-02 -2.84189631e-02
  9.25967145e-02 -2.15656909e-02 -5.87236727e-03 -1.67354715e-01
 -4.85527295e-01 -1.35060141e-01 -4.92994208e+00 -4.19441416e+00
 -3.49247163e+00  1.00000000e+01 -7.20513914e+00  4.35153665e+00
 -1.00000000e+01]",0.5948840184876515,False,"{'x_position': -0.008191466693665933, 'x_velocity': -0.404030851178448}"
33,[-0.94039434 -0.6308412  -0.00572497  0.24024665 -0.36652613 -0.33987027],"[ 1.24529476 -0.08022339 -0.05964146 -0.05971072  0.2146364  -0.08761173
  0.01984409 -0.29132545 -0.92951612 -0.2108981  -7.92205865 -7.10246775
 -4.33558695 10.         -9.35300984  1.97324918 -9.62009068]",0.2895723034381017,False,"{'x_position': -0.01386216901452843, 'x_velocity': -0.708837790107812}"
34,[-0.24013825 -0.8247905   0.50309616  0.16898553 -0.6793814   0.6827475 ],"[ 1.24209103e+00 -1.36411107e-01 -9.14151247e-02 -1.25333819e-01
  3.70118202e-01 -1.34951126e-01 -3.40319030e-03 -3.03815824e-01
 -1.30856871e+00 -5.96267417e-01 -6.13432942e+00 -8.88058292e-01
 -1.00000000e+01  1.00000000e+01 -2.51296101e+00 -7.78011918e+00
  6.30847323e+00]",-0.12234554295175262,False,"{'x_position': -0.02282535487265356, 'x_velocity': -1.1203982322656412}"
35,[-0.8767666  -0.73932415 -0.22509283 -0.6086374  -0.32347643  0.7823425 ],"[  1.23509991  -0.21663619  -0.13506652  -0.21976783   0.54400744
  -0.190631    -0.06899066  -0.20184607  -1.96275532  -1.20087738
 -10.          -9.94033809 -10.          10.         -10.
  -8.50576837  10.        ]",-0.6441222953050486,False,"{'x_position': -0.03595870825035274, 'x_velocity': -1.6416691722123973}"
36,[ 0.92887515 -0.99386585  0.300066    0.14520346 -0.6388242  -0.17581281],"[  1.22448733  -0.29127718  -0.14357736  -0.37003003   0.71328675
  -0.21963229  -0.17186455  -0.05009882  -1.94907572  -1.47634182
  -4.80848907   7.57322415 -10.          10.           4.03280543
 -10.          10.        ]",-0.9632268134265625,False,"{'x_position': -0.05164531708836216, 'x_velocity': -1.960826104751178}"
37,[-0.1251114  -0.12450819 -0.8905973   0.33591968  0.56278217 -0.56456244],"[  1.21227394  -0.32764076  -0.08506241  -0.57045355   0.81705807
  -0.19311465  -0.29033547   0.06628909  -1.72889336  -1.55847778
  -4.29702795   7.03823813 -10.           4.05898961   2.65111503
 -10.           9.31464892]",-0.8384016707183534,False,"{'x_position': -0.06633994953198222, 'x_velocity': -1.836829055452507}"
38,[ 0.51700884 -0.8079117   0.55614626  0.90203005 -0.64153355 -0.56579965],"[  1.19845668  -0.3231006    0.03088727  -0.79575638   0.8374183
  -0.10408337  -0.43472713   0.11263755  -1.63562921  -2.01038278
   2.11209791  10.         -10.           1.3386173   10.
 -10.           1.41660987]",-0.617944622392963,False,"{'x_position': -0.07926130914441144, 'x_velocity': -1.6151699515536533}"
39,[ 0.11113486  0.42727786  0.5692267  -0.3215919  -0.9158479   0.8651368 ],"[  1.17919943  -0.33506197   0.11889807  -1.00268978   0.84282398
  -0.01901031  -0.60985787   0.16799655  -1.90480284  -2.77170411
  -4.44604813   6.30860568 -10.           0.15901622   7.10738479
 -10.          10.        ]",-0.7879532586390035,False,"{'x_position': -0.09354725843854483, 'x_velocity': -1.7857436617666738}"
40,[-0.20956576  0.2831621   0.04088702 -0.88879865 -0.8353838  -0.63897943],"[ 1.15546960e+00 -3.96285521e-01  1.30938944e-01 -1.17145470e+00
  8.40162064e-01  5.13659188e-03 -7.78403135e-01  2.27363751e-01
 -2.25482345e+00 -3.17013644e+00 -1.00000000e+01 -3.20561218e+00
 -1.00000000e+01 -6.96834456e-01 -9.48350419e-01 -1.00000000e+01
  1.32002356e+00]",-1.0834903113871144,False,"{'x_position': -0.11019900577590945, 'x_velocity': -2.081468417170577}"
41,[-0.917846    0.24347147  0.01419864 -0.1159662  -0.607459    0.7016267 ],"[  1.12741885  -0.50721634   0.06835497  -1.30859589   0.83323608
  -0.03630373  -0.93303804   0.26867016  -2.37424635  -3.8652262
 -10.         -10.         -10.          -0.97435095  -9.42993888
 -10.           9.04975038]",-1.3277532374385654,False,"{'x_position': -0.12880681842811878, 'x_velocity': -2.325976581526166}"
42,[ 0.32044828 -0.08284116  0.8500689   0.89974934 -0.8926946  -0.30878672],"[ 1.09448319e+00 -6.19373312e-01 -3.98422097e-04 -1.43838821e+00
  8.27036729e-01 -7.17361481e-02 -1.10296634e+00  3.03000567e-01
 -2.06778698e+00 -4.34773315e+00 -1.00000000e+01 -5.16393980e+00
 -1.00000000e+01 -6.00681003e-01  1.05328472e-01 -1.00000000e+01
 -6.31065531e-01]",-1.2142177026462904,False,"{'x_position': -0.14650028829979264, 'x_velocity': -2.211683733959233}"
43,[ 0.52384603 -0.68575394  0.95260626  0.88913673 -0.4743305  -0.67422444],"[  1.05865276  -0.67374182   0.01094963  -1.59358906   0.82316383
  -0.01348127  -1.3158251    0.2358998   -1.77101785  -4.68664035
  -4.73267534   4.28558408 -10.          -0.36107491  10.
 -10.         -10.        ]",-0.8713800817513201,False,"{'x_position': -0.1614463508425361, 'x_velocity': -1.8682578178429339}"
44,[-0.17287977 -0.854809   -0.39586672 -0.61557275  0.7545205   0.7512536 ],"[  1.01929042  -0.73218948   0.01854257  -1.75766746   0.78354969
   0.03458211  -1.50951592   0.15505868  -1.7369268   -5.14505948
  -9.86327119  -2.36983069 -10.          -9.54150005   1.1487434
 -10.          -3.63212147]",-0.7547289573985203,False,"{'x_position': -0.17546474322789005, 'x_velocity': -1.7522990481692418}"
45,[0.08240683 0.5798922  0.4729983  0.7715684  0.41370434 0.86518365],"[ 9.78306119e-01 -8.06733912e-01 -3.58084813e-03 -1.90745582e+00
  7.40109535e-01  3.91587162e-02 -1.66407375e+00  1.79925203e-01
 -1.33192554e+00 -5.08166078e+00 -8.70244889e+00 -3.06327030e+00
 -1.00000000e+01 -1.32277147e+00  1.17583979e-01 -1.00000000e+01
  9.91462049e+00]",-0.5309504108065679,False,"{'x_position': -0.18769569207441644, 'x_velocity': -1.5288686058157994}"
46,[ 0.88260174 -0.7150376   0.17214477  0.9630791   0.38460466 -0.90102476],"[  0.93677495  -0.87726244  -0.02744553  -2.04792182   0.72673051
   0.04049911  -1.80352409   0.19993083  -1.32413605  -5.30459703
  -8.96662435  -2.95129084 -10.          -2.01403075   0.2042047
 -10.          -4.8546092 ]",-0.33172904381568974,False,"{'x_position': -0.19832386693516535, 'x_velocity': -1.3285218575936133}"
47,[-0.5605631  -0.05681406  0.9110138   0.47255078 -0.88655347 -0.5818909 ],"[  0.89247604  -0.95623757  -0.06869674  -2.1816504    0.77179183
   0.03956883  -1.94208617   0.11259676  -1.25642528  -5.76832066
 -10.          -7.34545668 -10.          10.          -0.35829408
 -10.         -10.        ]",-0.2970809948258979,False,"{'x_position': -0.20868055262685054, 'x_velocity': -1.2945857114606483}"
48,[0.61141247 0.06644133 0.42071655 0.00382431 0.9472255  0.44623446],"[ 8.47047375e-01 -1.03689136e+00 -1.22302934e-01 -2.30700729e+00
  8.54576592e-01  3.54922723e-02 -2.07001972e+00  9.45186164e-03
 -1.03567796e+00 -5.58134043e+00 -9.40839630e+00 -5.93453997e+00
 -1.00000000e+01  6.55784417e+00 -6.12843684e-01 -1.00000000e+01
 -8.71519820e+00]",-0.14151149653021838,True,"{'x_position': -0.21779943165506152, 'x_velocity': -1.1398598785263732}"
49,[ 0.9924746   0.10409353  0.48350295 -0.97754234  0.6695238  -0.00583862],"[ 1.24501470e+00 -2.11718231e-03  8.79865511e-04 -1.33539129e-02
  3.46583447e-02 -1.01404145e-02  1.09144820e-02 -7.23584887e-03
 -1.08365764e-01 -1.73609592e-01 -1.07693578e+00  1.01502411e-01
 -2.74784059e+00  8.27361706e+00 -2.09420230e+00  1.57815688e+00
 -7.23900255e-02]",0.9825112564421936,False,"{'x_position': 0.0028242391575091985, 'x_velocity': -0.014855241789694202}"
50,[-0.3390999  -0.41042155 -0.24075389 -0.6467683  -0.8219953   0.57332927],"[ 1.24301643e+00 -2.91042955e-02 -1.79915788e-02 -3.61834227e-02
  8.97016165e-02 -3.94766713e-02  5.22323390e-03  3.48478618e-02
 -7.01591015e-01 -3.36321877e-01 -5.65887974e+00 -4.79662189e+00
 -2.99078483e+00  5.48659983e+00 -5.23104858e+00 -2.97140439e+00
  1.00000000e+01]",0.592952221838194,False,"{'x_position': -0.0004180303549251417, 'x_velocity': -0.4052836890542925}"
51,[ 0.133708    0.92696685  0.5431107   0.75397307 -0.1869869  -0.72169614],"[ 1.24017792 -0.05569948 -0.04123107 -0.0467157   0.15522755 -0.05469904
 -0.02888603  0.0798011  -0.24869843 -0.36460331 -0.99857953 -1.03215379
  0.41373195 10.          1.43053921 -5.60801114  0.77117283]",0.5233166710849867,False,"{'x_position': -0.004213125791405771, 'x_velocity': -0.4743869295600786}"
52,[ 0.5661374  -0.5132175  -0.14226927 -0.6545893  -0.7175429   0.86467427],"[  1.23627234  -0.05916932  -0.03032796  -0.06838508   0.24417607
  -0.02497969  -0.10001243   0.14232959  -0.57237438  -0.62680821
   0.11161575   3.72585631  -5.83447091  10.           5.92100462
 -10.          10.        ]",0.5859224503769209,False,"{'x_position': -0.007507384902227073, 'x_velocity': -0.41178238885266283}"
53,[ 0.263016    0.69157183 -0.6472973   0.11816213  0.30295947 -0.32803485],"[ 1.23163495 -0.05625779 -0.01039069 -0.09082313  0.28890809  0.01692081
 -0.18206662  0.22957466 -0.25613973 -0.52219402  0.12502822  0.59999442
  0.36944169 -0.06305371  3.77750183 -8.08591739  7.33978884]",0.5970835108986499,False,"{'x_position': -0.010721278443379549, 'x_velocity': -0.4017366926440595}"
54,[ 0.941557   -0.6694489   0.6253481   0.05567568  0.32314062  0.34508923],"[ 1.22632811e+00 -5.73517461e-02  8.03973681e-03 -1.21058833e-01
  3.34408532e-01  3.67062361e-02 -2.29018981e-01  3.05913851e-01
 -4.14009141e-01 -8.07538735e-01 -8.77441518e-01  2.84749778e+00
 -6.72277204e+00  1.00000000e+01  8.72294558e-01 -4.14914486e+00
  1.00000000e+01]",0.673644280387378,False,"{'x_position': -0.013316505337174751, 'x_velocity': -0.3244033617244002}"
55,[ 0.3978026  -0.45286033  0.93085164  0.8315343  -0.07890654  0.92289525],"[ 1.21784054 -0.07247711  0.02453864 -0.18013697  0.47995124  0.03963881
 -0.27091103  0.45962051 -0.65244886 -1.31194533 -2.79807628  1.41157801
 -7.95419494 10.         -0.02456802 -6.17945022 10.        ]",0.460293655235165,False,"{'x_position': -0.01761192229249802, 'x_velocity': -0.5369271194154087}"
56,[-0.81614023 -0.16963881  0.867178    0.23691303 -0.8188417  -0.39392638],"[  1.20628896  -0.10615286   0.02191118  -0.2356804    0.73021508
   0.03708626  -0.3413325    0.64811671  -1.06269988  -1.58083009
  -5.55827139  -1.99022002  -5.7278787   10.          -0.53820769
 -10.          10.        ]",0.13747357547463745,False,"{'x_position': -0.024493504349482782, 'x_velocity': -0.8601977571230951}"
57,[ 0.80788136  0.12733442  0.16544966  0.1528996  -0.95097166 -0.3558637 ],"[ 1.19422061e+00 -1.53345627e-01  7.71174057e-03 -2.88146601e-01
  9.69659027e-01  3.38535295e-02 -4.44555037e-01  7.76997806e-01
 -1.36016393e+00 -1.33164520e+00 -6.20018105e+00 -1.31546518e+00
 -7.98833980e+00  1.00000000e+01 -3.11991072e-01 -1.00000000e+01
  1.00000000e+01]",-0.2065174925431886,False,"{'x_position': -0.03413163929448222, 'x_velocity': -1.20476686812493}"
58,[-0.1874791   0.995984    0.9205869  -0.05205851  0.9076826   0.61177707],"[ 1.18626467e+00 -2.18996295e-01 -3.60882962e-02 -3.28800642e-01
  1.06258889e+00 -9.13113091e-03 -5.14668044e-01  8.41473261e-01
 -1.13355614e+00 -7.02833729e-01 -1.00000000e+01 -9.65487549e+00
 -2.05755367e+00  5.64039537e+00 -1.00000000e+01 -3.69184906e+00
  5.09915538e+00]",-0.2508938118507178,False,"{'x_position': -0.044114185936062256, 'x_velocity': -1.2478183301975043}"
59,[ 0.9365196   0.26658607 -0.5915235   0.47517338 -0.03937929  0.98639977],"[ 1.18137182 -0.2657735  -0.06343121 -0.36286795  1.07433307 -0.04301859
 -0.56064757  0.86764566 -0.68149193 -0.52609558 -1.51883449  2.71205962
 -6.29941655 -2.0576241   1.80173138 -7.83133813  1.80021025]",0.09017108023726353,False,"{'x_position': -0.051372830397649255, 'x_velocity': -0.9073305576983749}"
60,[ 0.4068968  -0.40888727  0.8523354  -0.7594643   0.22728686  0.19949594],"[ 1.1768283  -0.28608434 -0.04622065 -0.42373637  1.04768996 -0.04491722
 -0.60909094  0.87281616 -0.83182496 -0.62489542 -3.55090309  1.58038646
 -8.90552891 -4.23896136 -2.22790099 -4.35799662 -0.24826907]",0.23965654136159986,False,"{'x_position': -0.057441758279731005, 'x_velocity': -0.7586159852602187}"
